날짜,사고,사망,부상,비트코인가격,,,사고,사망
2005-01-01,65,3,163,0,,2005,20867,699
2005-01-02,30,0,47,0,,2006,27064,819
2005-01-03,38,0,83,0,,2007,25990,904
2005-01-04,35,2,61,0,,2008,25080,880
2005-01-05,47,1,75,0,,2009,26042,805
2005-01-06,43,2,70,0,,2010,25597,674
2005-01-07,49,1,88,0,,2011,24154,699
2005-01-08,55,4,107,0,,2012,23465,677
2005-01-09,48,0,128,0,,2013,20206,578
2005-01-10,37,2,55,0,,2014,17361,457
2005-01-11,43,0,75,0,,2015,19599,494
2005-01-12,44,2,83,0,,2016,17397,402
2005-01-13,50,1,118,0,,2017,16710,372
2005-01-14,57,2,107,0,,2018,15851,289
2005-01-15,61,1,125,0,,2019,12649,243
2005-01-16,54,3,114,0,,2020,13877,224
2005-01-17,42,2,75,0,,2021,11967,152
2005-01-18,47,0,80,0,,2022,11868,164
2005-01-19,43,1,74,0,,2023,10271,116
2005-01-20,54,4,88,0,,,,
2005-01-21,43,4,72,0,,,,
2005-01-22,53,1,90,0,,,,
2005-01-23,65,5,138,0,,,,
2005-01-24,39,2,61,0,,,,
2005-01-25,44,2,67,0,,,,
2005-01-26,46,2,82,0,,,,
2005-01-27,40,2,63,0,,,,
2005-01-28,58,1,104,0,,,,
2005-01-29,56,2,121,0,,,,
2005-01-30,57,0,93,0,,,,
2005-01-31,49,2,93,0,,,,
2005-02-01,43,1,71,0,,,,
2005-02-02,44,2,79,0,,,,
2005-02-03,51,2,91,0,,,,
2005-02-04,54,3,107,0,,,,
2005-02-05,48,3,95,0,,,,
2005-02-06,56,7,115,0,,,,
2005-02-07,55,1,106,0,,,,
2005-02-08,72,3,130,0,,,,
2005-02-09,36,1,99,0,,,,
2005-02-10,23,0,53,0,,,,
2005-02-11,55,0,109,0,,,,
2005-02-12,48,4,73,0,,,,
2005-02-13,32,1,54,0,,,,
2005-02-14,34,4,54,0,,,,
2005-02-15,78,0,140,0,,,,
2005-02-16,74,1,128,0,,,,
2005-02-17,44,0,67,0,,,,
2005-02-18,69,4,111,0,,,,
2005-02-19,75,2,122,0,,,,
2005-02-20,55,2,117,0,,,,
2005-02-21,51,1,96,0,,,,
2005-02-22,38,3,66,0,,,,
2005-02-23,46,2,67,0,,,,
2005-02-24,45,1,72,0,,,,
2005-02-25,59,1,103,0,,,,
2005-02-26,65,3,123,0,,,,
2005-02-27,43,1,83,0,,,,
2005-02-28,39,0,62,0,,,,
2005-03-01,53,5,87,0,,,,
2005-03-02,42,3,76,0,,,,
2005-03-03,40,0,74,0,,,,
2005-03-04,36,1,72,0,,,,
2005-03-05,70,1,123,0,,,,
2005-03-06,69,2,114,0,,,,
2005-03-07,45,1,75,0,,,,
2005-03-08,49,3,74,0,,,,
2005-03-09,36,1,64,0,,,,
2005-03-10,72,4,105,0,,,,
2005-03-11,70,2,118,0,,,,
2005-03-12,66,1,127,0,,,,
2005-03-13,56,2,92,0,,,,
2005-03-14,38,1,65,0,,,,
2005-03-15,51,3,89,0,,,,
2005-03-16,65,1,113,0,,,,
2005-03-17,75,1,124,0,,,,
2005-03-18,55,1,94,0,,,,
